State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
chhattisgarh,2021,4,Peer-to-peer payments,32799167,1.02E+11
chhattisgarh,2021,4,Recharge & bill payments,11115444,4724830000
chhattisgarh,2021,4,Financial Services,55237,66445900
chhattisgarh,2021,4,Others,221621,146145000
chhattisgarh,2022,1,Merchant payments,48236094,33822500000
chhattisgarh,2022,1,Peer-to-peer payments,37457039,1.18E+11
chhattisgarh,2022,1,Recharge & bill payments,11466264,5442870000
chhattisgarh,2022,1,Financial Services,52918,55991700
chhattisgarh,2022,1,Others,200977,131773000
chhattisgarh,2022,2,Merchant payments,61093916,41536400000
chhattisgarh,2022,2,Peer-to-peer payments,42532112,1.34E+11
chhattisgarh,2022,2,Recharge & bill payments,12737942,5949420000
chhattisgarh,2022,2,Financial Services,41530,46037700
chhattisgarh,2022,2,Others,178548,114905000
chhattisgarh,2022,3,Merchant payments,84355775,50874100000
chhattisgarh,2022,3,Peer-to-peer payments,57116149,1.61E+11
chhattisgarh,2022,3,Recharge & bill payments,16538894,8069940000
chhattisgarh,2022,3,Financial Services,55775,61881700
chhattisgarh,2022,3,Others,185994,128469000
chhattisgarh,2022,4,Merchant payments,97405954,60247100000
chhattisgarh,2022,4,Peer-to-peer payments,63986789,1.84E+11
chhattisgarh,2022,4,Recharge & bill payments,16324117,8376600000
chhattisgarh,2022,4,Financial Services,63695,81169100
chhattisgarh,2022,4,Others,179891,141385000
goa,2018,1,Recharge & bill payments,85991,18273800
goa,2018,1,Peer-to-peer payments,59651,268175000
goa,2018,1,Merchant payments,7880,11036000
goa,2018,1,Financial Services,1191,520106
goa,2018,1,Others,6184,5851740
goa,2018,2,Recharge & bill payments,120943,30994300
goa,2018,2,Peer-to-peer payments,87878,419492000
goa,2018,2,Merchant payments,12456,20162900
goa,2018,2,Financial Services,1903,733429
goa,2018,2,Others,6395,7221020
