"State","Year","Quarter","Brands","User_Count","User_Percentage"
"assam","2018","4","Others","133347","12.8314"
"assam","2019","1","Xiaomi","334681","26.5813"
"assam","2019","1","Vivo","212982","16.9156"
"assam","2019","1","Samsung","202440","16.0783"
"assam","2019","1","Oppo","153803","12.2155"
"assam","2019","1","Realme","84813","6.73608"
"assam","2019","1","Motorola","24528","1.94808"
"assam","2019","1","Gionee","23250","1.84658"
"assam","2019","1","Lenovo","22797","1.8106"
"assam","2019","1","Asus","22514","1.78812"
"assam","2019","1","Huawei","22249","1.76708"
"assam","2019","1","Others","155028","12.3128"
"assam","2019","2","Xiaomi","397560","26.5017"
"assam","2019","2","Vivo","260776","17.3836"
"assam","2019","2","Samsung","242964","16.1962"
"assam","2019","2","Oppo","188693","12.5785"
"assam","2019","2","Realme","100087","6.6719"
"assam","2019","2","Motorola","28185","1.87884"
"assam","2019","2","Gionee","27145","1.80951"
"assam","2019","2","Huawei","26683","1.77871"
"assam","2019","2","Asus","26345","1.75618"
"assam","2019","2","Lenovo","26095","1.73952"
"assam","2019","2","Others","175595","11.7053"
"assam","2019","3","Xiaomi","463729","26.7816"
"assam","2019","3","Vivo","309395","17.8684"
"assam","2019","3","Samsung","272124","15.7159"
"assam","2019","3","Oppo","222464","12.8479"
"assam","2019","3","Realme","119091","6.87782"
"assam","2019","3","Huawei","31407","1.81384"
"assam","2019","3","Gionee","30833","1.78069"
"assam","2019","3","Motorola","30628","1.76885"
"assam","2019","3","Asus","30395","1.75539"
"assam","2019","3","Lenovo","25713","1.48499"
"assam","2019","3","Others","195744","11.3047"
"assam","2019","4","Xiaomi","517791","26.6735"
"assam","2019","4","Vivo","355815","18.3295"
"assam","2019","4","Samsung","302655","15.591"
"assam","2019","4","Oppo","254644","13.1177"
"assam","2019","4","Realme","140535","7.23952"
"assam","2019","4","Huawei","35293","1.81808"
"assam","2019","4","Gionee","33438","1.72253"
"assam","2019","4","Motorola","32828","1.6911"
"assam","2019","4","Asus","28977","1.49272"
"assam","2019","4","Lenovo","26680","1.37439"
"assam","2019","4","Others","212564","10.95"
"assam","2020","1","Xiaomi","576697","26.3821"
"assam","2020","1","Vivo","410865","18.7958"
"assam","2020","1","Samsung","337886","15.4573"
"assam","2020","1","Oppo","292242","13.3692"
"assam","2020","1","Realme","167659","7.66989"
"assam","2020","1","Huawei","39212","1.79383"
"assam","2020","1","Motorola","34939","1.59835"
"assam","2020","1","Gionee","33136","1.51587"
"assam","2020","1","Asus","32099","1.46843"
"assam","2020","1","Lenovo","28782","1.31669"
"assam","2020","1","Others","232421","10.6326"
"assam","2020","2","Xiaomi","663323","26.0037"
"assam","2020","2","Vivo","494955","19.4033"
"assam","2020","2","Samsung","388754","15.24"
"assam","2020","2","Oppo","346884","13.5986"
"assam","2020","2","Realme","204222","8.00593"
"assam","2020","2","Huawei","44120","1.7296"
"assam","2020","2","Motorola","38074","1.49258"
"assam","2020","2","Gionee","37873","1.4847"
"assam","2020","2","Asus","36040","1.41284"
"assam","2020","2","Lenovo","31346","1.22883"
"assam","2020","2","Others","265292","10.4"
"assam","2020","3","Xiaomi","729048","25.7613"
"assam","2020","3","Vivo","564343","19.9414"
"assam","2020","3","Samsung","427293","15.0986"
"assam","2020","3","Oppo","388827","13.7394"
"assam","2020","3","Realme","236986","8.37403"
"assam","2020","3","Huawei","47619","1.68264"
"assam","2020","3","Motorola","40261","1.42264"
"assam","2020","3","Gionee","39463","1.39445"
"assam","2020","3","Asus","38775","1.37014"
"assam","2020","3","Lenovo","33169","1.17204"
"assam","2020","3","Others","284227","10.0433"
"assam","2020","4","Xiaomi","792324","25.5082"
