"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"jammu-&-kashmir","2018","3","baramulla district","210619","195960000"
"jammu-&-kashmir","2018","3","jammu district","145123","376453000"
"jammu-&-kashmir","2018","3","ganderbal district","52136","55650500"
"jammu-&-kashmir","2018","3","udhampur district","37014","92258300"
"jammu-&-kashmir","2018","3","bandipore district","87129","60815700"
"jammu-&-kashmir","2018","3","reasi district","16409","42269600"
"jammu-&-kashmir","2018","3","shopian district","8156","13724400"
"jammu-&-kashmir","2018","3","poonch district","1189512","2093060000"
"jammu-&-kashmir","2018","3","kathua district","35991","65729700"
"jammu-&-kashmir","2018","3","kishtwar district","5911","14394200"
"jammu-&-kashmir","2018","3","pulwama district","65491","93862000"
"jammu-&-kashmir","2018","3","ramban district","13585","31095400"
"jammu-&-kashmir","2018","3","rajouri district","25458","73897500"
"jammu-&-kashmir","2018","3","kulgam district","36648","38482900"
"jammu-&-kashmir","2018","3","budgam district","74691","120545000"
"jammu-&-kashmir","2018","3","anantnag district","69967","95642800"
"jammu-&-kashmir","2018","3","kupwara district","31434","95123400"
"jammu-&-kashmir","2018","4","muzaffarabad district","267","1159500"
"jammu-&-kashmir","2018","4","doda district","16990","50665200"
"jammu-&-kashmir","2018","4","samba district","43623","110910000"
"jammu-&-kashmir","2018","4","mirpur district","4525","17198500"
"jammu-&-kashmir","2018","4","srinagar district","144970","329216000"
"jammu-&-kashmir","2018","4","baramulla district","109702","212165000"
"jammu-&-kashmir","2018","4","jammu district","226829","670989000"
"jammu-&-kashmir","2018","4","ganderbal district","28646","51463800"
"jammu-&-kashmir","2018","4","udhampur district","50056","158444000"
"jammu-&-kashmir","2018","4","bandipore district","27073","56020900"
"jammu-&-kashmir","2018","4","reasi district","21464","57918400"
"jammu-&-kashmir","2018","4","shopian district","11706","27856800"
"jammu-&-kashmir","2018","4","poonch district","1642053","2992750000"
"jammu-&-kashmir","2018","4","kathua district","50640","115345000"
"jammu-&-kashmir","2018","4","kishtwar district","6978","22848700"
"jammu-&-kashmir","2018","4","pulwama district","43706","109778000"
"jammu-&-kashmir","2018","4","ramban district","18133","52646200"
"jammu-&-kashmir","2018","4","rajouri district","39629","132340000"
"jammu-&-kashmir","2018","4","kulgam district","32550","53586300"
"jammu-&-kashmir","2018","4","budgam district","75940","175490000"
"jammu-&-kashmir","2018","4","anantnag district","79193","110779000"
"jammu-&-kashmir","2018","4","kupwara district","46637","155148000"
"jammu-&-kashmir","2019","1","muzaffarabad district","309","802634"
"jammu-&-kashmir","2019","1","doda district","19704","52638900"
"jammu-&-kashmir","2019","1","samba district","51437","119637000"
"jammu-&-kashmir","2019","1","mirpur district","4690","17006200"
